id,timestamp,symbol,price,volume,volatility,rsi,macd,bollinger_position,market_cap,pe_ratio,volume_profile,price_momentum,liquidity_ratio,order_book_imbalance,cross_correlation,sector_beta,vwap_deviation,time_of_day_factor,is_anomaly,anomaly_type,anomaly_reason_1,anomaly_reason_2,anomaly_reason_3
trade_000015,2025-06-09 04:20:42,TSLA,49.96,16748,0.3143,57.86,-0.2716,0.7801,168249817081,30.56,0.9554,0.0425,0.8217,-0.085,0.5556,1.1294,-0.0124,1.0938,0,,,,
trade_000016,2025-05-27 19:20:20,JNJ,234.16,1521,0.333,55.9,-0.4549,0.5986,649998298845,28.52,0.9595,-0.0029,0.7244,0.0161,0.328,0.8133,-0.0147,0.9947,0,,,,
trade_000017,2025-06-04 16:17:38,XOM,442.2,41064,0.3706,42.85,1.2742,0.3858,522289416905,39.74,1.1079,-0.0422,0.9798,-0.0575,0.4076,1.1794,-0.005,0.7301,0,,,,
trade_000018,2025-06-21 09:54:38,JNJ,280.56,49422,0.2443,35.36,-0.1085,0.6669,43694753200,34.1,1.0624,0.0042,0.5962,0.069,0.6392,1.3115,0.0167,0.8646,0,,,,
trade_000019,2025-06-05 10:24:08,AMZN,107.38,4685,0.3965,32.09,-1.1502,0.2998,526930073252,18.82,1.1847,0.0108,0.7555,-0.0801,0.5606,0.9004,-0.0194,1.1358,0,,,,
trade_000020,2025-05-27 00:22:56,TSLA,445.92,41912,0.7898,42.64,0.5983,0.2996,968347453088,12.95,0.9109,-0.0219,0.5571,-0.0654,0.5184,1.0427,-0.0003,1.1997,1,price_spike,Extreme price spike: 65.7% increase,"Volume surge accompanying price movement: 41,912 shares",Volatility spike detected
trade_000021,2025-06-03 13:58:24,JPM,102.63,23844,0.1354,32.66,1.7219,0.5165,972755196825,21.44,1.1632,0.0213,0.8774,0.0266,0.3619,1.2825,0.0007,0.9138,0,,,,
trade_000022,2025-06-06 14:57:29,GOOGL,249.56,36448,0.2665,53.69,1.7392,0.5988,700165449778,21.68,0.9806,-0.0089,0.9413,-0.0625,0.6937,1.3743,0.0106,1.1035,0,,,,
trade_000023,2025-06-17 18:47:21,XOM,97.1,19330,0.3054,42.58,1.4457,0.6524,939547772480,30.52,1.0707,-0.0479,0.6744,0.0465,0.3676,1.396,-0.0193,1.0835,0,,,,
trade_000024,2025-06-07 23:19:16,KO,78.57,6819,0.2421,61.79,1.101,0.2584,157415889311,32.76,1.1087,0.029,0.69,-0.0534,0.4837,1.1958,-0.0175,1.009,0,,,,
trade_000025,2025-06-10 12:06:45,GOOGL,186.15,2703,0.2835,50.14,-0.4893,0.5806,243361742584,36.99,0.9253,0.0127,0.7882,0.0738,0.639,1.1841,0.0154,1.0169,0,,,,
trade_000026,2025-06-17 22:39:22,JPM,353.98,45222,0.353,33.19,1.0953,0.5576,461957330491,30.11,1.115,-0.0147,0.5111,-0.0506,0.5452,1.0572,0.0174,0.8851,0,,,,
trade_000027,2025-06-05 10:23:13,MSFT,353.27,30436,0.2824,45.15,-1.4151,0.272,53748959204,30.05,1.0275,0.0084,0.9303,-0.0939,0.3361,1.1999,0.0085,1.1521,0,,,,
trade_000028,2025-05-24 03:02:14,KO,452.68,3240,0.1164,56.06,0.9099,0.7121,485891073439,14.63,0.8085,-0.0307,0.9358,0.0792,0.6017,1.1417,-0.0071,0.7127,0,,,,
trade_000029,2025-06-14 13:45:36,PG,287.2,9037,0.3874,68.53,-0.9447,0.7211,420979233237,20.75,1.1181,-0.017,0.7204,-0.0892,0.5354,0.8274,-0.0196,0.8481,0,,,,
trade_000030,2025-05-27 12:33:11,TSLA,140.32,43210,0.2061,33.85,-0.9861,0.5729,366666813812,28.74,1.0533,0.0002,0.9528,-0.0992,0.3528,0.836,-0.0128,1.2402,0,,,,
trade_000031,2025-05-29 14:56:53,GOOGL,236.34,42581,0.3294,59.61,0.285,0.3732,387811154818,28.75,0.8885,-0.0111,0.9314,-0.0687,0.315,1.2924,-0.0169,0.9867,0,,,,
trade_000032,2025-06-14 11:54:14,JPM,418.87,40242,0.385,32.42,1.8761,0.4433,409258660675,26.92,0.8952,-0.035,0.7872,0.0838,0.6377,1.2489,-0.0076,0.7175,0,,,,
trade_000033,2025-06-11 10:19:25,GOOGL,124.63,7798,0.1047,42.11,-0.6685,0.6953,36896912690,22.95,1.1392,0.023,0.6679,-0.0736,0.5519,1.1673,0.0155,0.9036,0,,,,
trade_000034,2025-06-19 17:02:46,META,296.63,15306,0.2056,69.45,1.47,0.2422,65669453990,13.51,1.1081,-0.0112,0.5921,-0.0664,0.4508,1.3746,0.0136,1.2074,0,,,,
trade_000035,2025-06-14 14:02:11,GOOGL,160.98,17355,0.1699,65.52,-1.101,0.6063,2136564378,26.33,0.8879,-0.0491,0.527,-0.0555,0.3722,0.9812,-0.0078,1.1064,0,,,,
trade_000036,2025-06-13 21:03:26,AMZN,109.84,17840,0.2967,65.27,-1.0832,0.2618,674153903681,26.58,1.1759,0.0461,0.7431,0.0209,0.6299,0.8969,0.0062,0.8842,0,,,,
trade_000037,2025-06-03 11:51:31,AMZN,150.86,8135,0.1513,60.25,-1.7891,0.2879,467789322605,12.06,1.0064,-0.0499,0.5106,0.0929,0.4701,1.3051,-0.0136,1.2102,0,,,,
trade_000038,2025-06-09 06:25:02,BAC,173.31,10949,0.3645,59.57,-1.4022,0.336,494718226031,12.89,1.1323,-0.0011,0.7998,0.0288,0.3158,0.9789,-0.0005,0.8927,0,,,,
trade_000039,2025-05-30 00:40:42,XOM,375.55,18096,0.1682,66.93,0.2597,0.329,781285870584,39.15,0.9823,-0.0176,0.5679,0.0674,0.3408,1.0252,0.0103,1.2829,0,,,,
trade_000040,2025-05-28 17:10:08,AAPL,306.78,11908,0.174,62.04,0.6133,0.745,924430456813,32.51,0.9419,-0.0026,0.6067,0.095,0.4172,1.365,0.0132,1.2168,0,,,,
trade_000041,2025-05-26 13:12:37,JPM,103.32,12529,0.1521,32.91,-0.4454,0.7056,487526324472,33.06,0.8589,-0.0263,0.5767,0.098,0.3371,1.0387,-0.0157,1.2561,0,,,,
trade_000042,2025-05-25 12:55:14,NVDA,204.12,2490,0.2766,30.8,-1.9457,0.4521,805572176501,27.41,0.8011,-0.0109,0.918,-0.0991,0.556,0.8017,0.0193,1.0531,0,,,,
trade_000043,2025-06-21 13:11:47,JNJ,215.7,50453,0.1616,53.07,-1.4342,0.6083,754300162081,25.42,0.9009,0.0049,0.8135,0.0523,0.3179,0.9211,-0.0097,1.2184,0,,,,
trade_000044,2025-06-03 19:05:53,NFLX,230.24,31350,0.1791,53.46,0.0697,0.2035,275776917245,33.42,0.8064,-0.0284,0.5562,0.0925,0.5502,1.2138,0.0176,1.213,0,,,,
trade_000045,2025-06-14 23:12:44,NVDA,358.23,28440,0.1765,41.48,-1.9592,0.6196,45830722974,38.99,0.949,0.0406,0.9487,0.0422,0.5199,1.2756,0.0041,1.1104,0,,,,
trade_000046,2025-06-21 13:20:20,NFLX,188.57,35790,0.2782,67.46,-1.6275,0.6235,661329544818,13.16,0.8767,-0.0106,0.6424,-0.079,0.5114,1.3885,0.0028,1.1762,0,,,,
trade_000047,2025-06-17 09:38:31,AAPL,283.91,25305,0.3209,64.0,0.2732,0.6996,91105180640,22.69,1.1395,-0.0487,0.6894,0.024,0.4263,1.1008,-0.0128,1.0592,0,,,,
trade_000048,2025-05-28 06:01:08,JPM,142.74,15442,0.1152,47.05,-1.0302,0.2214,777467934860,21.54,0.8533,0.0355,0.8085,0.0817,0.4457,1.2313,0.0161,0.9198,0,,,,
trade_000049,2025-06-08 11:31:31,XOM,109.3,2093,0.2659,48.58,1.5333,0.2677,545705026083,10.76,1.1079,0.0073,0.8755,-0.0388,0.4599,1.0826,0.0016,1.1902,0,,,,
trade_000050,2025-06-15 01:37:14,WMT,272.7,50034,0.1199,56.97,-1.2399,0.3795,193534628435,10.56,0.9051,-0.0341,0.7892,0.0724,0.3099,1.3644,0.0137,1.2688,0,,,,
trade_000051,2025-05-31 05:51:03,PFE,420.82,29730,0.1667,67.58,0.1433,0.3954,670311968604,26.53,1.0785,0.0298,0.7506,-0.0908,0.3475,1.242,0.016,1.2572,0,,,,
trade_000052,2025-06-09 14:30:43,AMZN,49.15,1387,0.1365,46.42,1.3469,0.6991,547469897479,36.51,0.9694,-0.0243,0.8322,-0.0858,0.482,1.2338,0.0047,1.037,0,,,,
trade_000053,2025-06-09 08:41:12,JNJ,162.2,42589,0.2422,65.11,-0.2375,0.7807,19475462936,16.45,1.0003,-0.0285,0.5586,0.0239,0.5131,0.872,0.0194,1.2638,0,,,,
trade_000054,2025-06-19 11:41:15,AMZN,230.03,41217,0.2949,39.54,-0.6583,0.51,449064314176,20.56,1.0566,-0.0401,0.6365,-0.0093,0.5677,1.2448,0.0018,1.1777,0,,,,
trade_000055,2025-05-26 06:09:47,TSLA,396.23,33888,0.2338,48.35,0.8491,0.6188,15147195981,30.88,0.8838,0.0099,0.994,-0.0962,0.4522,1.3492,0.0154,0.708,0,,,,
trade_000056,2025-05-28 05:39:56,NVDA,462.03,24980,0.3502,53.81,-1.1652,0.5299,434120233293,33.3,1.066,0.0375,0.6569,0.0586,0.3265,1.2981,0.0024,1.1951,0,,,,
trade_000057,2025-06-11 18:59:33,AMZN,354.59,36067,0.3933,37.34,1.5799,0.598,54581187792,27.9,0.8809,0.0058,0.5736,-0.096,0.5047,0.9565,0.0151,0.7561,0,,,,
trade_000058,2025-06-14 00:30:15,META,178.46,2154,0.2158,54.09,-1.4038,0.7119,648467400827,36.45,1.1797,0.0377,0.9453,-0.0109,0.3852,0.814,0.0148,1.0111,0,,,,
trade_000059,2025-05-29 19:07:13,JPM,288.98,49066,0.222,60.94,-1.8136,0.4737,871136295716,39.37,0.951,-0.0411,0.8866,0.0675,0.3717,1.3217,0.0005,1.0277,0,,,,
trade_000060,2025-05-30 23:04:39,NVDA,285.92,24848,0.1125,31.45,-1.1318,0.6728,624682464527,26.99,0.9284,-0.0439,0.8403,-0.0924,0.4475,1.0824,0.0028,1.0051,0,,,,
trade_000061,2025-06-05 18:10:44,NFLX,372.23,10677,0.1083,58.97,-1.8978300831359878,0.7086,536177466372,27.85,0.9957,-0.24456346808295515,0.6006,-0.0627,0.12466203333895651,2.8074477068664545,0.0041,1.1077,1,momentum_anomaly,Extreme momentum: -24.5%,MACD anomaly: -1.90,Low market correlation: 0.125
trade_000062,2025-06-05 07:37:02,NFLX,263.59,48769,0.2869,31.31,0.0572,0.3592,625762179048,13.98,1.0011,-0.0097,0.6782,0.0764,0.6048,0.8178,0.0135,1.1517,0,,,,
trade_000063,2025-06-07 01:28:07,MSFT,353.66,9641,0.313,39.9,-1.0767,0.5295,410560826945,12.46,1.181,-0.0093,0.9356,-0.0948,0.6934,0.9074,0.0081,0.9857,0,,,,
trade_000064,2025-05-25 06:11:28,JPM,202.13,40889,0.3012,32.62,-0.2563,0.2308,108849592323,38.54,1.1388,-0.0151,0.518,-0.0032,0.4429,1.3489,-0.0106,1.0249,0,,,,
trade_000065,2025-06-10 17:55:31,WMT,88.37,11672,0.1552,44.7,-1.5752,0.3441,286847337072,28.31,1.0695,-0.0379,0.7057,0.0803,0.6082,1.2946,-0.0102,1.1705,0,,,,
trade_000066,2025-06-08 10:45:49,AAPL,104.34,48248,0.3568,47.13,1.8363,0.4912,832632349821,23.02,1.1436,-0.0277,0.9017,0.0829,0.4137,1.1232,0.0028,0.9851,0,,,,
trade_000067,2025-06-05 01:17:58,AAPL,209.88,5322,0.1977,58.62,-0.4999,0.3355,903902206825,16.35,1.0471,-0.0098,0.9807,-0.0572,0.6252,1.1491,0.0036,1.1585,0,,,,
trade_000068,2025-05-24 00:11:29,NVDA,66.45,32270,0.1477,40.95,1.9955,0.5552,926713170860,36.79,1.0906,0.0347,0.6906,0.0647,0.5798,0.9998,0.0133,0.8578,0,,,,
trade_000069,2025-06-14 01:12:27,JPM,142.14,3657,0.1011,51.29,-1.6651,0.6435,836462472482,22.05,1.1294,-0.0361,0.6411,0.0755,0.312,1.0611,0.0145,0.9069,0,,,,
trade_000070,2025-06-05 13:15:09,TSLA,100.67,16852,0.2085,53.25,1.3566,0.4577,536066397216,18.54,0.9269,-0.0218,0.9088,-0.0791,0.6237,1.04,-0.0178,0.8207,0,,,,
trade_000071,2025-06-12 19:36:37,AMZN,303.21,22865,0.3505,61.09,-0.909,0.4511,765584022488,15.01,1.0443,-0.0395,0.5383,0.0475,0.6201,1.3942,0.0183,1.0994,0,,,,
trade_000072,2025-06-01 09:37:04,AMZN,408.11,3452,0.3393,36.08,-1.0822,0.6563,432095049614,13.84,0.894,0.0417,0.5905,0.0255,0.5583,1.1448,0.0058,0.8301,0,,,,
trade_000073,2025-05-30 16:12:49,TSLA,141.52,48495,0.3567,40.59,1.3262,0.2222,210692111522,25.33,0.9182,-0.022,0.9176,-0.0344,0.6873,1.368,-0.0103,1.1457,0,,,,
trade_000074,2025-06-06 17:06:39,AAPL,204.59,20440,0.2502,39.29,0.3671,0.241,228378257654,32.88,0.994,0.0067,0.6593,-0.0047,0.3146,0.8185,-0.0108,0.9181,0,,,,
trade_000075,2025-06-04 21:18:53,KO,49.71,46294,0.2954,42.75,-0.1168,0.7913,962858441671,17.87,1.1954,0.0333,0.8312,0.0008,0.3443,1.153,0.0127,0.8059,0,,,,
trade_000076,2025-06-16 18:48:27,TSLA,423.06,50542,0.3032,65.52,-1.0487,0.3775,20699961659,14.96,1.1394,-0.0137,0.9874,-0.037,0.5902,1.0719,-0.0146,1.037,0,,,,
trade_000077,2025-05-29 18:12:55,TSLA,78.72,4834,0.2253,30.04,-0.9293,0.7044,271989806238,26.5,1.1427,-0.045,0.8941,0.0594,0.4274,1.3276,-0.0069,0.8692,0,,,,
trade_000078,2025-06-08 06:30:23,MSFT,170.81,27197,0.2844,63.91,1.8797,0.218,342762302432,35.16,0.8113,0.0211,0.5938,-0.0395,0.4593,1.2423,-0.008,0.7937,0,,,,
trade_000079,2025-06-18 17:35:09,JNJ,65.29,4770,0.1587,65.36,-0.2374,0.2318,315089195268,15.34,0.9057,-0.0106,0.804,-0.0112,0.5713,0.8806,0.0186,1.1448,0,,,,
trade_000080,2025-05-27 22:13:27,TSLA,384.14,8779,0.2956,33.01,-1.3658,0.3861,215099193431,22.0,0.8483,-0.0495,0.9845,-0.0161,0.4863,1.2284,-0.0046,0.7602,0,,,,
trade_000081,2025-06-16 12:53:44,WMT,82.59,21206,0.1309,41.11,-1.0991,0.6037,813458930342,12.22,0.8197,0.0054,0.8196,0.0576,0.3259,1.2932,0.0063,1.2025,0,,,,
trade_000082,2025-06-13 14:57:12,KO,351.84,3083,0.1733,61.15,-0.3543,0.7105,5463251398,28.78,0.8258,0.0154,0.6106,-0.0281,0.3052,1.1477,-0.0176,1.127,0,,,,
trade_000083,2025-06-02 21:23:07,JNJ,190.54,39403,0.2276,54.01,-1.2341,0.6993,699751855067,39.08,1.0894,0.0146,0.503,0.0018,0.5553,0.9733,0.0132,0.8891,0,,,,
trade_000084,2025-05-29 11:23:01,META,150.36,34877,0.3061,65.85,0.0954,0.4852,674681545794,26.82,0.9929,0.0159,0.7648,0.0539,0.4856,0.9788,0.0006,1.2282,0,,,,
trade_000085,2025-05-29 12:20:00,WMT,303.91,28853,0.2772,42.87,1.8794,0.4054,68305210015,22.15,1.0253,-0.0025,0.9177,0.099,0.6921,1.2291,-0.0153,0.8384,0,,,,
trade_000086,2025-06-01 12:11:06,JPM,202.36,18491,0.3546,67.95,1.8383,0.2811,600589098053,38.94,0.8493,0.0021,0.8637,0.0266,0.3505,1.3909,0.0192,0.8521,0,,,,
trade_000087,2025-05-25 19:06:15,BAC,342.65,23174,0.1905,66.91,-1.7627,0.5108,525640996895,29.43,1.0507,0.0055,0.7867,0.0036,0.4444,1.2997,-0.0004,0.7533,0,,,,
trade_000088,2025-06-02 08:06:35,MSFT,117.06,17806,0.1304,44.58,-1.8839,0.4442,123442592662,34.01,0.9998,0.0443,0.8217,-0.0235,0.425,1.0977,-0.0094,1.2079,0,,,,
trade_000089,2025-06-03 20:48:20,NFLX,170.41,38745,0.2934,45.42,-1.3126,0.5678,754653574902,24.22,1.047,0.0111,0.6532,-0.0932,0.3038,0.8567,0.004,1.1325,0,,,,
trade_000090,2025-06-22 21:20:46,PG,459.02,3800,0.2655,40.3,0.8277,0.6371,508656050605,37.07,1.0989,-0.0007,0.5958,-0.0084,0.6823,1.1644,-0.0173,1.1739,0,,,,
trade_000091,2025-06-04 14:28:31,AMZN,132.84,2006,0.2519,53.57,1.7302,0.5104,486511291792,27.27,1.0564,0.0344,0.7952,-0.0599,0.3872,1.2631,0.0117,1.1409,0,,,,
trade_000092,2025-06-12 04:56:19,GOOGL,52.97,13477,0.3276,45.11,-0.4,0.5039,661379362111,24.11,1.0675,0.0355,0.5522,0.0377,0.3283,1.2573,0.0132,1.0024,0,,,,
trade_000093,2025-06-09 17:45:58,WMT,289.36,21172,0.1841,43.17,0.9456,0.416,955829829630,12.47,1.1737,0.026,0.9898,-0.0045,0.4554,1.0933,0.0065,0.9508,0,,,,
trade_000094,2025-06-05 04:49:31,JPM,215.12,5088,0.3673,46.53,1.2246,0.5969,836618080114,24.62,0.8417,0.0431,0.9482,0.0762,0.5406,1.3364,-0.0087,0.8703,0,,,,
trade_000095,2025-06-10 14:51:35,PG,467.42,14097,0.1168,69.37,-0.3106,0.382,741448428490,16.76,1.1693,0.0048,0.6668,0.0654,0.6213,1.0756,-0.0124,1.0334,0,,,,
trade_000096,2025-06-13 19:21:27,GOOGL,57.52,23198,0.1439,54.62,-1.9584,0.6703,414699384483,19.57,0.8758,-0.0392,0.898,0.0365,0.5753,0.8066,0.0095,1.2184,0,,,,
trade_000097,2025-06-14 04:27:20,TSLA,395.06,6747,0.2668,57.35,0.2838,0.5422,324455565658,24.11,0.9097,-0.0121,0.5919,-0.0054,0.3025,1.251,0.0172,1.1705,0,,,,
trade_000098,2025-06-02 05:30:19,NVDA,251.79,33290,0.1903,34.81,-1.7895,0.2203,121203858993,22.29,1.1337,0.0091,0.6003,0.0281,0.685,0.8743,0.0075,1.0572,0,,,,
trade_000099,2025-06-10 06:17:55,AAPL,293.57,21619,0.2844,59.84,-0.7196,0.2667,669438192103,26.94,0.8154,-0.0383,0.6661,-0.0211,0.5585,0.9096,-0.0051,1.2088,0,,,,
trade_000100,2025-05-26 22:57:21,TSLA,349.87,28068,0.2702,57.29,-0.6394,0.4213,301239988233,10.19,0.8575,-0.0147,0.6136,-0.0325,0.6395,1.2713,-0.0137,0.9638,0,,,,
trade_000101,2025-05-24 16:46:26,WMT,126.54,31951,0.1813,69.94,-0.3049,0.4338,477770408642,13.93,0.8899,-0.0358,0.6075,0.0911,0.3722,1.0798,0.0186,1.1445,0,,,,
trade_000102,2025-06-07 06:50:57,JNJ,356.56,25841,0.3893,36.09,-1.3302,0.5227,360247561978,17.86,0.9197,0.0068,0.7393,-0.0855,0.5127,1.0273,-0.013,1.0165,0,,,,
trade_000103,2025-05-30 11:10:13,PG,435.29,2978,0.3047,45.72,1.4375,0.3285,557983709200,12.88,1.148,-0.0251,0.7392,0.0469,0.6118,1.3686,0.0173,0.7914,0,,,,
trade_000104,2025-06-17 15:10:44,KO,116.91,31654,0.2922,63.21,-1.2614,0.3991,827097851565,32.44,1.1769,0.0187,0.7598,-0.0962,0.3098,1.2295,0.0095,1.0321,0,,,,
trade_000105,2025-05-31 20:47:41,PG,86.74,17678,0.2549,67.09,-1.0774,0.226,408308716514,24.02,1.0908,-0.0457,0.9318,-0.0043,0.6904,1.0404,0.0112,0.906,0,,,,
trade_000106,2025-06-18 08:06:20,BAC,440.85,49644,0.3603,57.34,-0.8627,0.6303,489796067848,34.23,1.1456,0.0118,0.7736,-0.0804,0.354,1.2662,0.0016,1.007,0,,,,
trade_000107,2025-06-03 08:51:15,AMZN,153.52,25274,0.1634,55.81,0.3349,0.6414,770947763189,28.81,0.8842,0.0435,0.6419,-0.0471,0.305,1.1649,0.015,0.8268,0,,,,
trade_000108,2025-06-08 04:53:46,NVDA,140.12,30878,0.297,63.04,-0.1115,0.3727,240575320333,30.71,0.9457,-0.0417,0.5898,-0.0022,0.3625,1.3232,0.0106,1.159,0,,,,
trade_000109,2025-06-18 19:19:57,JPM,361.18,103941,0.7758,46.28,-1.6401,0.6926,40716657668,13.74,0.9535,0.0337,0.5857,-0.0952,0.4819,0.9072,0.0009,0.9462,1,price_spike,Extreme price spike: 140.5% increase,"Volume surge accompanying price movement: 103,941 shares",Volatility spike detected
trade_000110,2025-06-04 17:56:47,NFLX,175.62,26769,0.1401,40.12,-0.3988,0.7386,712268869074,29.49,1.0974,0.036,0.5234,0.0975,0.4327,1.3287,-0.0005,0.7099,0,,,,
trade_000111,2025-06-13 15:53:09,META,220.96,4134,0.2174,54.19,-1.6019,0.419,123260960250,37.89,0.8861,0.0073,0.8568,-0.0488,0.4365,0.9701,0.0167,0.9553,0,,,,
trade_000112,2025-06-17 21:30:30,GOOGL,255.89,11336,0.3702,56.61,-1.1794,0.7079,208246010967,37.98,0.8087,0.0221,0.7426,0.0507,0.4834,0.866,0.0155,1.2839,0,,,,
trade_000113,2025-06-05 02:55:53,WMT,131.23,26308,0.1886,60.0,1.7383,0.7641,818995837156,27.82,1.0048,-0.0435,0.5706,-0.0913,0.5627,1.2919,0.003,0.8624,0,,,,
trade_000114,2025-06-08 19:27:40,JNJ,426.66,15326,0.1744,58.19,-0.1205,0.2319,703007728760,32.02,1.0709,0.0108,0.7982,-0.0976,0.3171,1.3465,0.0077,1.2184,0,,,,
trade_000115,2025-06-07 09:40:31,NVDA,175.45,33876,0.3758,40.25,0.887,0.4578,9357822229,12.92,1.1768,-0.0392,0.6642,0.0629,0.4589,1.0523,-0.0035,1.0039,0,,,,
trade_000116,2025-06-14 11:05:37,NVDA,391.1,48424,0.1743,40.4,-1.8164,0.6455,407063708948,36.62,1.0504,-0.0024,0.5485,0.0284,0.4677,0.9181,0.012,0.92,0,,,,
trade_000117,2025-05-28 04:02:34,MSFT,375.49,48695,0.254,44.68,-1.3319,0.2772,343067713717,11.29,0.9885,-0.0283,0.5325,0.0198,0.5157,1.3951,0.0074,1.1542,0,,,,
trade_000118,2025-06-15 21:09:38,NVDA,126.27,27903,0.2455,56.6,0.2362376777702515,0.2784,693233922062,22.07,1.0517,-0.0008711369098322597,0.6519,-0.0037,0.1638459452129386,2.867150804614731,-0.0036,1.0293,1,momentum_anomaly,Extreme momentum: -0.1%,MACD anomaly: 0.24,Low market correlation: 0.164
trade_000119,2025-06-06 11:37:33,BAC,192.76,16162,0.3561,30.23,0.1404,0.718,203059307415,29.92,0.9855,-0.0059,0.7214,-0.0131,0.4282,1.005,-0.0047,0.9706,0,,,,
trade_000120,2025-06-07 15:48:25,AAPL,241.4,3027,0.1309,48.6,-1.6669,0.3618,432747858635,22.12,1.1474,-0.024,0.7756,-0.0796,0.6596,1.319,0.0017,0.8917,0,,,,
trade_000121,2025-06-02 19:15:31,KO,379.01,6718,0.1163,35.61,-1.1414,0.677,31598357404,30.77,0.8438,-0.0379,0.9866,0.0217,0.651,1.0144,-0.0021,0.7931,0,,,,
trade_000122,2025-06-12 22:35:02,TSLA,412.52,35068,0.3822,51.13,0.4181,0.4006,955457305908,10.5,1.1883,0.0196,0.9893,0.0429,0.6671,0.9805,-0.0128,1.2797,0,,,,
trade_000123,2025-06-01 21:10:41,PG,303.4,4376,0.1404,55.11,0.4232,0.4484,989121619168,12.84,0.9876,-0.0164,0.9484,0.0011,0.6659,1.0585,0.0165,0.8684,0,,,,
trade_000124,2025-06-14 18:13:43,MSFT,71.15,33650,0.2127,58.26,1.732,0.5677,235771318098,16.67,1.1865,0.0446,0.9157,0.0005,0.533,0.9841,0.0021,0.9706,0,,,,
trade_000125,2025-05-26 02:40:42,NVDA,259.99,24650,0.8791879962359551,65.46,0.47,0.95,787899842204,26.17,1.1645,0.14727484453773304,0.9731,-0.0236,0.4525,1.1515,0.001,0.8793,1,extreme_volatility,Extreme volatility: 87.9%,Price outside normal Bollinger Bands,Extreme momentum: 14.7%
trade_000126,2025-05-28 20:18:01,GOOGL,86.55,39780,0.1545,47.5,-1.6404,0.6169,663637510514,33.43,0.953,-0.0155,0.8748,-0.066,0.5812,1.1677,-0.0143,1.0349,0,,,,
